JobId,MatchedJobs,OtherSuggested,Date,datepart,month,year
3595135,85,436,11-07-2015,11,07,2015
3498267,26,4021,20-06-2015,20,06,2015
3686537,3,133,25-07-2015,25,07,2015
3686537,4,78,01-08-2015,01,08,2015
3612523,1257,0,11-07-2015,11,07,2015
3514509,351,5197,25-06-2015,25,06,2015
3514509,359,4110,27-06-2015,27,06,2015
3606055,1,118,11-07-2015,11,07,2015
3423659,0,9,06-06-2015,06,06,2015
3636989,621,5425,16-07-2015,16,07,2015
3636989,634,2021,18-07-2015,18,07,2015
3592823,54,1,09-07-2015,09,07,2015
3592823,53,0,11-07-2015,11,07,2015
3188779,0,0,21-04-2015,21,04,2015
3188779,2358,14416,23-04-2015,23,04,2015
3581077,167,6,07-07-2015,07,07,2015
3581077,172,1,09-07-2015,09,07,2015
3628811,0,0,16-07-2015,16,07,2015
3624171,491,95,14-07-2015,14,07,2015
3624171,467,36,16-07-2015,16,07,2015
3691433,503,10176,28-07-2015,28,07,2015
3691433,506,29,30-07-2015,30,07,2015
3486205,7,2,18-06-2015,18,06,2015
3486205,8,0,20-06-2015,20,06,2015
3534369,8385,8,02-07-2015,02,07,2015
3603805,0,0,11-07-2015,11,07,2015
3641389,47,1065,18-07-2015,18,07,2015
3160973,23451,46471,21-04-2015,21,04,2015
3527165,0,0,03-07-2015,03,07,2015
3558089,168,118,04-07-2015,04,07,2015
3519537,2,4327,27-06-2015,27,06,2015
3556451,1024,186,04-07-2015,04,07,2015
3485583,1013,7859,20-06-2015,20,06,2015
3527881,0,0,03-07-2015,03,07,2015
3695293,1000,4029,28-07-2015,28,07,2015
3695293,1009,2991,30-07-2015,30,07,2015
3699701,24,0,30-07-2015,30,07,2015
3590397,5783,68168,09-07-2015,09,07,2015
3590397,6050,19934,25-07-2015,25,07,2015
3531185,46,171,30-06-2015,30,06,2015
3531185,0,0,03-07-2015,03,07,2015
3454325,74,3514,13-06-2015,13,06,2015
3302527,1186,19906,14-05-2015,14,05,2015
3453465,8624,1437,18-06-2015,18,06,2015
3453465,8930,634,18-07-2015,18,07,2015
3561641,220,1229,04-07-2015,04,07,2015
3626959,20,2212,16-07-2015,16,07,2015
3605569,17,54,11-07-2015,11,07,2015
3698649,6640,0,30-07-2015,30,07,2015
3705871,20,295,30-07-2015,30,07,2015
3705871,19,283,01-08-2015,01,08,2015
3419767,157,103,06-06-2015,06,06,2015
3419753,51,108,06-06-2015,06,06,2015
3686615,509,777,25-07-2015,25,07,2015
3615691,35,0,14-07-2015,14,07,2015
3688655,1119,1671,28-07-2015,28,07,2015
3422851,44,51861,09-06-2015,09,06,2015
3536879,250,6443,02-07-2015,02,07,2015
3447931,260,3614,11-06-2015,11,06,2015
3539755,12836,51,02-07-2015,02,07,2015
3430393,0,15,09-06-2015,09,06,2015
3317039,2207,1402,16-05-2015,16,05,2015
3317039,2140,3189,30-07-2015,30,07,2015
3377479,135,10959,28-05-2015,28,05,2015
3331507,24,1920,19-05-2015,19,05,2015
2917785,0,0,07-03-2015,07,03,2015
2917785,0,0,18-04-2015,18,04,2015
3153241,52,2,18-04-2015,18,04,2015
3565821,187,159,04-07-2015,04,07,2015
3438829,24554,6313,11-06-2015,11,06,2015
3259049,982,54505,04-06-2015,04,06,2015
3259049,1043,58279,27-06-2015,27,06,2015
3259049,0,0,03-07-2015,03,07,2015
3647129,48,55,23-07-2015,23,07,2015
3647129,45,14,25-07-2015,25,07,2015
3613415,1186,804,11-07-2015,11,07,2015
3555221,1945,56,03-07-2015,03,07,2015
3555221,1936,3,04-07-2015,04,07,2015
3581329,182,9246,07-07-2015,07,07,2015
3581329,190,4861,09-07-2015,09,07,2015
3328403,21,418,16-05-2015,16,05,2015
3676237,80,0,25-07-2015,25,07,2015
3637085,1405,12767,16-07-2015,16,07,2015
3637085,1390,2139,18-07-2015,18,07,2015
3315543,0,47,16-05-2015,16,05,2015
3633229,143,33183,16-07-2015,16,07,2015
3633229,145,27509,18-07-2015,18,07,2015
3158457,0,0,16-04-2015,16,04,2015
3158457,0,0,16-04-2015,16,04,2015
3158457,78,1182,18-04-2015,18,04,2015
3273763,244,4284,07-05-2015,07,05,2015
3425967,1,2,06-06-2015,06,06,2015
3478089,9,2884,18-06-2015,18,06,2015
3368121,5,2740,26-05-2015,26,05,2015
3368121,22,4151,27-05-2015,27,05,2015
3627893,0,0,16-07-2015,16,07,2015
3522861,10613,98816,27-06-2015,27,06,2015
3522861,0,0,03-07-2015,03,07,2015
3685511,89,643,25-07-2015,25,07,2015
3652855,90,47,28-07-2015,28,07,2015
3652855,94,17,30-07-2015,30,07,2015
3652855,94,28,04-08-2015,04,08,2015
3652855,98,13,06-08-2015,06,08,2015
3652855,95,65,11-08-2015,11,08,2015
3468557,590,38,16-06-2015,16,06,2015
3310523,209,42262,14-05-2015,14,05,2015
3310523,279,3353,16-05-2015,16,05,2015
3535355,59,0,02-07-2015,02,07,2015
3684697,52,24,25-07-2015,25,07,2015
3571993,465,0,07-07-2015,07,07,2015
3279501,0,1,12-05-2015,12,05,2015
3600141,721,0,09-07-2015,09,07,2015
3600141,730,0,11-07-2015,11,07,2015
3654657,0,0,21-07-2015,21,07,2015
3684589,6069,13572,25-07-2015,25,07,2015
3675745,46,1563,25-07-2015,25,07,2015
3308803,2716,78086,14-05-2015,14,05,2015
3386527,246,3245,28-05-2015,28,05,2015
3386527,495,5072,30-05-2015,30,05,2015
3634247,0,0,16-07-2015,16,07,2015
3634247,33,214,18-07-2015,18,07,2015
3674033,0,9,23-07-2015,23,07,2015
3674033,0,7,25-07-2015,25,07,2015
3497177,3202,41173,20-06-2015,20,06,2015
3511237,3235,10385,25-06-2015,25,06,2015
3616943,9,1428,18-07-2015,18,07,2015
