job_maxexp,user_experience,max_exp_score
7 Yrs,23 Yrs,0.001655995
7 Yrs,24 Yrs,0.000772798
7 Yrs,3 Yrs,0.130602782
7 Yrs,4 Yrs,0.120446015
7 Yrs,5 Yrs,0.13137558
7 Yrs,6 Yrs,0.113490837
7 Yrs,7 Yrs,0.086222124
7 Yrs,8 Yrs,0.039412674
7 Yrs,9 Yrs,0.028924707
7 Yrs,> 25 Yrs,0.00927357
8 Yrs,0 Yr,0.045847176
8 Yrs,1 Yr,0.040033223
8 Yrs,10 Yrs,0.030564784
8 Yrs,11 Yrs,0.013621262
8 Yrs,12 Yrs,0.013953488
8 Yrs,13 Yrs,0.009634551
8 Yrs,14 Yrs,0.009966777
8 Yrs,15 Yrs,0.01013289
8 Yrs,16 Yrs,0.008139535
8 Yrs,17 Yrs,0.006146179
8 Yrs,18 Yrs,0.004651163
8 Yrs,19 Yrs,0.00166113
8 Yrs,2 Yrs,0.060465116
8 Yrs,20 Yrs,0.005481728
8 Yrs,21 Yrs,0.002325581
8 Yrs,22 Yrs,0.00282392
8 Yrs,23 Yrs,0.002159468
8 Yrs,24 Yrs,0.000664452
8 Yrs,3 Yrs,0.126245847
8 Yrs,4 Yrs,0.124916944
8 Yrs,5 Yrs,0.131727575
8 Yrs,6 Yrs,0.112790698
8 Yrs,7 Yrs,0.095847176
8 Yrs,8 Yrs,0.095847176
8 Yrs,9 Yrs,0.035714286
8 Yrs,> 25 Yrs,0.008637874
9 Yrs,0 Yr,0.015831894
9 Yrs,1 Yr,0.024755325
9 Yrs,10 Yrs,0.04289004
9 Yrs,11 Yrs,0.019286126
9 Yrs,12 Yrs,0.016983305
9 Yrs,13 Yrs,0.010362694
9 Yrs,14 Yrs,0.011514105
9 Yrs,15 Yrs,0.014104778
9 Yrs,16 Yrs,0.011514105
9 Yrs,17 Yrs,0.007772021
9 Yrs,18 Yrs,0.008635579
9 Yrs,19 Yrs,0.007484168
9 Yrs,2 Yrs,0.04173863
9 Yrs,20 Yrs,0.008923431
9 Yrs,21 Yrs,0.003454231
9 Yrs,22 Yrs,0.002878526
9 Yrs,23 Yrs,0.002878526
9 Yrs,24 Yrs,0.003742084
9 Yrs,3 Yrs,0.049510651
9 Yrs,4 Yrs,0.111686816
9 Yrs,5 Yrs,0.1318365
9 Yrs,6 Yrs,0.108520438
9 Yrs,7 Yrs,0.103914796
9 Yrs,8 Yrs,0.1208981
9 Yrs,9 Yrs,0.100172712
9 Yrs,> 25 Yrs,0.01871042
<1 Yr,0 Yr,0.77690206
