JobId,count
3693787,98
3683389,58
3696401,139
3667979,362
3691087,386
3690019,293
3694857,178
3466683,609
3699237,1168
3697477,561
3691937,44
3701343,101
3690825,46
3632283,5882
3689487,76
3692551,59
3690671,330
3702485,79
3693657,81
3703321,462
3474955,718
3711981,1
3630883,78
3652649,445
3695783,253
3710497,1693
3705279,14
3699799,623
3698233,42
3688793,896
3693385,23
3482285,527
3704405,149
3696001,878
3686695,834
3705355,29
3026407,7360
3696377,2662
3711795,1828
3699523,156
3707039,13
3691503,105
3694881,79
3691139,285
3700541,278
3693733,61
3687389,1463
3698871,29
3708391,106
3705513,73
3674187,53
3692671,48
3465749,3510
3697041,1300
3692075,322
3698983,227
3460861,852
3693161,128
3695013,67
3697289,218
2534633,793
3594173,3318
3551385,423
3690979,540
3705501,42
3700945,135
3689369,11
3709517,103
3700937,27
3710643,1010
3699577,1716
3644397,3089
3704511,225
3705703,111
3698579,305
3694761,113
3693935,480
3694879,65
3697945,282
3693071,178
3688827,376
3461125,770
3693035,524
3695363,254
3632749,3621
3698371,96
3690677,231
3690475,108
3373589,434
3632339,56
3660665,1941
3706677,127
3563843,71
3654099,3304
3694005,202
3706341,260
3706399,39
3710753,553
3691527,35
3691531,60
3487021,110
2566849,7192
3691257,65
3697401,103
3706959,83
3655627,1998
3693403,112
3712365,1312
3646293,188
3694691,126
3701335,147
3647707,3474
3701487,142
1788993,686
3689091,1537
3688285,2532
3706549,147
3690411,160
3704743,52
3701667,398
3618007,625
3695473,38
3697555,150
3691981,43
3701519,121
3690981,274
3704911,615
3693547,1081
3692731,248
3693533,55
2744011,1265
3693777,103
3689601,212
3703697,206
3695283,35
3691217,95
3579651,431
3703827,711
3696977,670
3699313,44
3706447,46
3653259,1040
3705719,50
3703187,98
3706541,54
